000000 	003FFF 	(unallocated 1)
098000 	0983FF 	DJ
4A8000 	4AFFFF 	SE
730000 	737FFF 	IR
004000 	0043FF 	ZW
09A000 	09AFFF 	GM
4B0000 	4B7FFF 	CH
738000 	73FFFF 	IL
006000 	006FFF 	MZ
09C000 	09CFFF 	BF
4B8000 	4BFFFF 	TR
740000 	747FFF 	JO
008000 	00FFFF 	ZA
09E000 	09E3FF 	ST
4C0000 	4C7FFF 	YU
748000 	74FFFF 	LB
010000 	017FFF 	EG
0A0000 	0A7FFF 	DZ
4C8000 	4C83FF 	CY
750000 	757FFF 	MY
018000 	01FFFF 	LY
0A8000 	0A8FFF 	BS
4CA000 	4CAFFF 	IE
758000 	75FFFF 	PH
020000 	027FFF 	MA
0AA000 	0AA3FF 	BB
4CC000 	4CCFFF 	IS
760000 	767FFF 	PK
028000 	02FFFF 	TN
0AB000 	0AB3FF 	BZ
4D0000 	4D03FF 	LU
768000 	76FFFF 	SG
030000 	0303FF 	BW
0AC000 	0ACFFF 	CO
4D2000 	4D23FF 	MT
770000 	777FFF 	LK
032000 	032FFF 	BI
0AE000 	0AEFFF 	CR
4D4000 	4D43FF 	MC
778000 	77FFFF 	SY
034000 	034FFF 	CM
0B0000 	0B0FFF 	CU
500000 	5003FF 	SM
780000 	7BFFFF 	CN
035000 	0353FF 	KM
0B2000 	0B2FFF 	SV
500000 	5FFFFF 	(reserved for EUR/NAT)
7C0000 	7FFFFF 	AU
036000 	036FFF 	CG
0B4000 	0B4FFF 	GT
501000 	5013FF 	AL
800000 	83FFFF 	IN
038000 	038FFF 	CI
0B6000 	0B6FFF 	GY
501C00 	501FFF 	HR
840000 	87FFFF 	JP
03E000 	03EFFF 	GA
0B8000 	0B8FFF 	HT
502C00 	502FFF 	LV
880000 	887FFF 	TH
040000 	040FFF 	ET
0BA000 	0BAFFF 	HN
503C00 	503FFF 	LT
888000 	88FFFF 	VN
042000 	042FFF 	GQ
0BC000 	0BC3FF 	VC
504C00 	504FFF 	MD
890000 	890FFF 	YE
044000 	044FFF 	GH
0BE000 	0BEFFF 	JM
505C00 	505FFF 	SK
894000 	894FFF 	BH
046000 	046FFF 	GN
0C0000 	0C0FFF 	NI
506C00 	506FFF 	SI
895000 	8953FF 	BN
048000 	0483FF 	GW
0C2000 	0C2FFF 	PA
507C00 	507FFF 	UZ
896000 	896FFF 	AE
04A000 	04A3FF 	LS
0C4000 	0C4FFF 	DO
508000 	50FFFF 	UA
897000 	8973FF 	SB
04C000 	04CFFF 	KE
0C6000 	0C6FFF 	TT
510000 	5103FF 	BY
898000 	898FFF 	PG
050000 	050FFF 	LR
0C8000 	0C8FFF 	SR
511000 	5113FF 	EE
899000 	8993FF 	TW
054000 	054FFF 	MG
0CA000 	0CA3FF 	AG
512000 	5123FF 	MK
8A0000 	8A7FFF 	ID
058000 	058FFF 	MW
0CC000 	0CC3FF 	GD
513000 	5133FF 	BA
900000 	9FFFFF 	(reserved for NAM/PAC)
05A000 	05A3FF 	MV
0D0000 	0D7FFF 	MX
514000 	5143FF 	GE
900000 	9003FF 	MH
05C000 	05CFFF 	ML
0D8000 	0DFFFF 	VE
515000 	5153FF 	TJ
901000 	9013FF 	CK
05E000 	05E3FF 	MR
100000 	1FFFFF 	RU
600000 	6003FF 	AM
902000 	9023FF 	WS
060000 	0603FF 	MU
200000 	27FFFF 	(reserved for AFI)
600000 	67FFFF 	(reserved for MID)
A00000 	AFFFFF 	US
062000 	062FFF 	NE
201000 	2013FF 	NA
600800 	600BFF 	AZ
B00000 	BFFFFF 	(reserved for future use)
064000 	064FFF 	NG
202000 	2023FF 	ER
601000 	6013FF 	KG
C00000 	C3FFFF 	CA
068000 	068FFF 	UG
280000 	2FFFFF 	(reserved for SAM)
601800 	601BFF 	TM
